Country,Year,Population,GDP per capita,Labor force,Unemployment,Employers,Agriculture,Industry,Manufacturing,Services,Trade,Gross capital formation,Tax rate,Gross national expenditure,Gross savings,Gross domestic savings,Consumer price index,Import value index,Final consumption expenditure,Exports,External balance,Natural resources rents,Gini index,Development expenditure,Health expenditure,Education expenditure,School enrollment primary,School enrollment secondary,School enrollment tertiary,Individuals using the Internet,International migrant stock
98.0,2013.0,17.035551,13.890630960000001,8.972219,0.052000000000000005,0.01850000024,0.0450354557,0.3369881564,0.1063497383,0.5317956069,0.6540760933,0.24569605360000002,0.289,0.8463955125,0.2898782512,0.3993005411,1.206144136,9.683650794,0.6006994589,0.38617037719999997,0.118264661,0.1920405043,0.271,0.0017132,0.0266286755,0.9486074829000001,1.118934021,1.028738174,0.5044258881,0.6330422443,0.19682958564880004
98.0,2014.0,17.288285,12.80726069,9.061237,0.0506,0.01570000052,0.04329552462,0.3320942583,0.1031824363,0.5483859647,0.6497203465,0.25790247239999997,0.289,0.8496242785,0.3014127781,0.40827819400000004,1.287035136,8.193551587,0.591721806,0.3934175809,0.1371148153,0.1761358276,0.27,0.0016722,0.0297468424,0.9462532043,1.1253440860000001,1.065911789,0.48804321289999997,0.66,0.19412827388165002
98.0,2015.0,17.542806,10.51077189,9.115881,0.0493,0.01350000024,0.04710547419,0.3085478739,0.10275409379999999,0.5929762787,0.5304972881,0.279079156,0.292,0.9325845588999999,0.2764339216,0.3464945971,1.372826017,6.064991151,0.6535054029,0.28516708009999997,0.03983687207,0.09552692889999999,0.268,0.0016951,0.030405108900000002,0.9653928374999999,1.116400833,1.103012695,0.4637350845,0.7082993360000001,0.2012330509
98.0,2016.0,17.794055,7.7148418439999995,9.071276,0.0496,0.01409999967,0.04556004271,0.3197979036,0.1133013967,0.5785743503999999,0.6031159659,0.27827582889999997,0.292,0.9400275318,0.2390119602,0.33824829710000004,1.572517616,4.959274702,0.6617517029,0.3184388864,0.03376180698,0.1150062282,0.272,0.0014179,0.0342235565,0.9594686127,1.098852081,1.1325002290000001,0.4661611938,0.7458772647,0.14277213269796002
98.0,2017.0,18.037776,9.247581331,9.00427,0.049,0.014500000479999999,0.0451698454,0.323252253,0.1128015694,0.573044151,0.5682538793999999,0.2635248253,0.292,0.8947641007999999,0.25934092270000003,0.3687607245,1.689512996,5.8067645830000005,0.6312392755,0.32397752939999996,0.07970117938,0.15674516430000002,0.275,0.0012667,0.031258840600000004,0.9580162047999999,1.08747757,1.141974335,0.501461792,0.7642674823,0.1951066566181201
98.0,2018.0,18.276452,9.812626371,9.034737,0.048499999999999995,0.013700000050000001,0.04395858103,0.334962004,0.1142862275,0.5545473227,0.6352795651,0.2525821271,0.294,0.8567747477000001,0.277913301,0.3958073794,1.791206995,6.455065745000001,0.6041926206,0.37625218429999996,0.11722480340000001,0.217844822,0.278,0.0011683,0.0292212725,0.9545102692,1.05836731,1.1424371340000001,0.5398825073,0.7890391906,0.18251165963165
98.0,2019.0,18.513673,9.812595808,9.060001,0.048,0.01480000019,0.04466335958,0.3302879591,0.11466364069999999,0.5552825593,0.6485861654999999,0.2762757495,0.284,0.8903859284000001,0.266713826,0.38588982110000003,1.8851643429999998,7.491443091,0.6141101789,0.364389871,0.08019357646,0.17624529020000002,0.30321999999999966,0.0019109210000000018,0.037087276144000016,1.0,1.0437133029999999,1.1322753140000001,0.6174975967,0.8187762047,0.17350822071535002
98.0,2020.0,18.75444,9.12223343,8.778458,0.0605,0.03334699995264002,0.05391282693,0.33097797149999997,0.1307253218,0.5610278089,0.5621952304,0.28519014330000003,0.39534999999999987,0.9420774946999999,0.2631922124,0.3431126486,2.012394119,3.9758145881699996,0.6568873514000001,0.3022598786,0.04232452681,0.12355669914974703,0.4167199999999999,0.003714425000000001,0.06116819132199997,0.9360088233949996,1.003210983,1.03753273,0.7067794037,0.8594259898,0.059747158384619976
99.0,1996.0,28.589456,0.42133919709999995,11.086541,0.029300000000000003,0.08090000153,0.2749252178,0.1639205347,0.1185948215,0.474121157585,0.573121107,0.1500382269,1.04919,1.062539426,0.1648075571,0.08749880086999999,0.2755708169,0.9495664102000001,0.9125011990999999,0.2520060195,-0.06910906805,0.054907625759999995,0.45825000000000027,0.0023197490000000003,0.046677655899,0.7491330204040003,0.9413745010749999,0.23078595313690006,0.0273559540511,8.839115e-05,0.01674943257872
99.0,1997.0,29.41566,0.44587725510000004,11.448645,0.0292,0.08,0.276939374,0.1592638317,0.1156828458,0.47833072568800006,0.5405711686,0.1514098814,1.0060799999999999,1.078566764,0.16270735949999998,0.07284311702,0.3068807461,1.0557564560000001,0.927156883,0.2268638735,-0.08684342157,0.04732982183,0.45,0.0024025630000000004,0.046614488160999994,0.7509201686890001,0.9385738036879997,0.2501694518078,0.027574203985779998,0.00034406051,0.01718965252342
